Permit_Number,Owner_Name,Operating_Name,Street,City,Prem_Zip,Prem_County,New_Permit_Flag
CA-W-24574,SAPERE AUDE SPARKLING LLC,,2515 NAPA VALLEY CORPORATE DR,NAPA,94558,NAPA,0
CA-W-24575,"94573, LLC",Labry Family Wines,2929 N SAINT HELENA HWY,SAINT HELENA,94574,NAPA,0
CA-W-24576,LA DE VI LLC,"La De Vi, LLC",2995 LIMESTONE WAY,PASO ROBLES,93446,SAN LUIS OBISPO COUNTY,0
CA-W-24577,"MERZ FAMILY WINERY, LLC",,6201 SCHIRRA CT STE 7,BAKERSFIELD,93313,,0
CA-W-24578,ARROWSMITH WINE INC.,,37 INDUSTRIAL WAY STE 104,BUELLTON,93427,SANTA BARBARA,0
CA-W-24579,FREQUENCY WINE COMPANY,FREQUENCY WINES,"300 N 12TH ST STE 1B, 2B",LOMPOC,93436,SANTA BARBARA,0
CA-W-2458,"STORRS WINERY & VINEYARD, LTD.",STORRS WINERY,"303 POTRERO ST STE 35, 8",SANTA CRUZ,95060,SANTA CRUZ,0
CA-W-24580,"QUINTESSENTIAL, LLC",Quintessential,2800 MAIN ST,SAINT HELENA,94574,NAPA,0
CA-W-24581,R WINERY OPERATION LLC,,2075 VINEYARD VIEW LN,LOMPOC,93436,SANTA BARBARA,0
CA-W-24582,RICHARD M. STELTZNER,Steltzner Vineyards,620 TRANCAS ST,NAPA,94558,,0
CA-W-24583,"SHELL CREEK VINEYARDS WINE CO., LLC",Avenales Ranch,5414 VINEYARD DR,PASO ROBLES,93446,,0
CA-W-24584,"NECTAR OF THE DOGS WINE, LLC",,300 S LEWIS ST UNIT C,CAMARILLO,93012,VENTURA,0
CA-W-24585,"COURAGEOUS, INC.",Sera Fina Cellars,17347 E GAWNE RD,STOCKON,95215,,0
CA-W-24586,J.A. IMPORTS LLC,J. Annick Cellars,520 AIRPARK RD,NAPA,94558,NAPA,0
CA-W-24587,M. SHERWIN CELLARS LLC,M. Sherwin Cellars,4060 SPRING MOUNTAIN RD,SAINT HELENA,94574,NAPA,0
CA-W-24588,PARR WINES LLC,,2079 E 15TH ST STE 114 & 122,LOS ANGELES,90021,LOS ANGELES,0
CA-W-24589,BERGMAN FAMILY VINEYARDS LLC,Bergman Family Vineyards,3285 ST. HELENA HWY NORTH,ST. HELENA,94574,NAPA,0
CA-W-24590,HALTER WINERY LLC,HALTER RANCH VINEYARD,41300 AVENIDA BIONA,TEMECULA,92591,RIVERSIDE,0
CA-W-24591,WHITLATCH CELLARS LLC,"Whitlatch Cellars, LLC",3208 CHILES POPE VALLEY RD,SAINT HELENA,94574,NAPA,0
CA-W-24592,LAWRENCE WINE ESTATES LLC,,144 GATEWAY RD E,NAPA,94558,,0
CA-W-24593,GRAND JOUEURS VIGNERONS LLC,GRANDS JOUEURS VIGNERONS,3450 SAGE CANYON ROAD RD,SAINT HELENA,94574,NAPA,0
CA-W-24594,GESTALT WINE COMPANY,Gestalt Wine Company,707 TECHNOLOGY WAY,NAPA,94558,NAPA,0
CA-W-24595,VITE GALLERON WINERY LLC,Sullivan Rutherford Estate,1044 LOS CARNEROS AVE,NAPA,94559,,0
CA-W-24596,TWICE CHOICE WINES INC.,Sapphire Hill Winery,"25 HEALDSBURG AVE BLDG 20, 21, 30",HEALDSBURG,95448,,0
CA-W-24597,2 RABBIT VENTURE CORPORATION,BROWN SOUL BREWING CO,3606 TWEEDY BLVD,SOUTH GATE,90280,LOS ANGELES,0
CA-W-24598,AMBIX SPIRITS LLC,Ambix Spirits,1944 HIGH SCHOOL RD,SEBASTOPOL,95472,SONOMA,0
CA-W-24599,CIENTO CELLARS LLC,,1544 PEACHY CANYON RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24600,ETTEILLA WINES LLC,Etteilla Wines,1387 MARINA WAY S STE 500,RICHMOND,94804,ALAMEDA,0
CA-W-24601,CORAL WINES LLC,Coral Wines,21481 8TH ST E STE 1,SONOMA,95476,SONOMA,0
CA-W-24602,LONGKNAPP CELLARS LLC,LongKnapp Cellars,6340 BENNETT VALLEY RD,SANTA ROSA,95404,SONOMA,0
CA-W-24603,BACHILLS LLC,,2222 N 3RD AVE,NAPA,94558,NAPA,0
CA-W-24604,"CONVERGENCE WINE COMPANY, LLC",,14650 STATE HIGHWAY 124,PLYMOUTH,95669,,0
CA-W-24605,"MLPC HOLDINGS, LLC",,4326 BIG RANCH RD,NAPA,94558,NAPA,0
CA-W-24606,"THE CALDWELL VINEYARD, LLC",Sandbom Cellars,270 KREUZER LN,NAPA,94559,,0
CA-W-24608,"WINE OPCO I, LLC",PIUS ESTATE,1550 W 46 HWY,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24609,"LONE MADRONE, A CALIFORNIA CORPORATION",Lone Madrone,3750 HWY 46 W,TEMPLETON,93465,SAN LUIS OBISPO,0
CA-W-24610,FATHERS + DAUGHTERS CELLARS,,28000 GREENWOOD RD,ELK,95432,MENDOCINO,0
CA-W-24611,"KISSED BY AN ANGEL WINES, LLC",Kissed by an Angel Wines,2535 7TH AVE UNIT 4,SANTA CRUZ,95062,SANTA CRUZ,0
CA-W-24612,THE VICE WINES LLC,The Vice Wines,110 -122 CAMINO ORUGA,NAPA,94558,,0
CA-W-24613,VILLEGAS FAMILY TRUST,Villegas Family Vineyard,15401 BARNEY RD,PLYMOUTH,95669,AMADOR,0
CA-W-24614,VILLA RAGAZZI LLC,,7878 MONEY RD,NAPA,94558,NAPA,0
CA-W-24615,THE HIVE MEADERY,,20370 CARSEAN DR DR,HILMAR,95324,,0
CA-W-24616,"THREE FAT GUYS WINE, L.L.C.",,7830 - 40 ST HELENA HWY,OAKVILLE,94562,NAPA,0
CA-W-24617,GAVIOTA COAST WINES LLC,,236 N F ST & 304 E CHESTNUT AVE,LOMPOC,93436,SANTA BARBARA,0
CA-W-24618,"GRATEFUL RED, LLC",Elusa Winery,400 SILVERADO TRAIL N SUITE A,CALISTOGA,94515,,0
CA-W-24619,OFF ROUTE WINE COMPANY LLC,,1611 HARLEY ST,CALISTOGA,94515,NAPA,0
CA-W-24620,FATHERS + DAUGHTERS CELLARS,,13401 HWY 128,BOONVILLE,95415,MENDOCINO,0
CA-W-24621,ARBORUM LLC,,620 TRANCAS ST,NAPA,94558,NAPA,0
CA-W-24622,"BARREL BROTHERS BREWING COMPANY, LLC","Barrel Brothers Brewing Company, LLC","399 BUSINESS PARK CT STE 524, 523",WINDSOR,95492,,0
CA-W-24623,THIS REALM LLC,,200 LONG RANCH RD,SAINT HELENA,94574,NAPA,0
CA-W-24624,LLEWELYN WINE LLC,,425 S 3RD ST,RICHMOND,94804,CONTRA COSTA,0
CA-W-24626,"KENTINA, LLC",Danza Del Sol,39050 DE PORTOLA RD,TEMECULA,92592,RIVERSIDE,0
CA-W-24627,"MS WINES, LLC",Martha Stoumen Wines,21481 8TH ST EAST STE 25 & 30,SONOMA,95476,SONOMA,0
CA-W-24628,"APTOS VINEYARD, LLC",APTOS VINEYARD,238 CARPENTERIA RD,AROMAS,95004,MONTEREY,0
CA-W-24629,"NICHOLSON VINEYARDS WINERY, INC.",,2800 PLEASANT VALLEY RD,APTOS,95003,SANTA CRUZ COUNTY,0
CA-W-2463,"DASHE WINE CELLARS, LLC",DASHE CELLARS,1951 MONARCH ST STE 300,ALAMEDA,94501,ALAMEDA,0
CA-W-24631,"PLINTH, LLC",Plinth,144 GATEWAY ROAD E,NAPA,94558,,0
CA-W-24632,"PIPER CELLARS, LLC",Roy Piper Wines,144 GATEWAY ROAD E RD,NAPA,94558,NAPA,0
CA-W-24633,HECKA GOODS LLC,,7730 BELL RD,WINDSOR,95492,SONOMA,0
CA-W-24634,NIX CELLARS LLC,Nix Cellars,2660 ANDERSON RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24635,G7 WINE COMPANY LLC,,2859 DRY CREEK RD,HEALDSBURG,95448,SONOMA,0
CA-W-24636,"PASTORI VINEYARDS, LLC",,23189 GEYSERVILLE AVE,CLOVERDALE,95425,SONOMA,0
CA-W-24637,VISION IN THE VINEYARDS,La Fata Cellars,281 PAMELA WAY UNIT 104-107,BUELLTON,93427,SANTA BARBARA,0
CA-W-24638,"AAA I.M. HOLDING, LLC",Anchor Point,27495 DIAZ RD,TEMECULA,92590,RIVERSIDE,0
CA-W-24639,"WILLIAMSON WINES, LLC",,7209 DRY CREEK RD,HEALDSBURG,95448,SONOMA,0
CA-W-24640,HALTER WINERY LLC,HALTER RANCH VINEYARD,2300 AIRPORT RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24641,NICKODEMUS WINE COMPANY,,2910 LIMESTONE WAY,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24642,KUBANI BUSINESS TRUST,,918 ENTERPRISE WAY STE G & I,NAPA,94558,NAPA,0
CA-W-24643,BALTAZAR FAMILY WINES LLC,Baltazar Family Wines,1251 W LAUREL AVE UNIT 9-21,LOMPOC,93436,SANTA BARBARA,0
CA-W-24644,"BRIGHTGEEKS, LLC",WOO GIRL! CELLARS,4950 ROSS RD,SEBASTOPOL,95472,,0
CA-W-24645,CHERRY WOOD WINERY LLC,,667125 HWY 147,WESTWOOD,96137,LASSEN,0
CA-W-24646,"BURTECH FAMILY VINEYARD, LLC",Burtech Family Vineyard,6705 CRISTO LN,SANTA ROSA,95409,SONOMA,0
CA-W-24647,FATES' LIEUTENANT LLC,,100 LOS PADRES WAY UNIT 7,BUELLTON,93427,SANTA BARBARA,0
CA-W-24649,"PIMENTEL FAMILY WINES, LLC",Pimentel Family Wines,902 ENTERPRISE WAY STE P,NAPA,94558,NAPA,0
CA-W-24650,WHITE DOG VINEYARD LLC,White Dog Vineyard,6420 LAGO GRANDE DR,BONSALL,92003,SN DIEGO,0
CA-W-24651,"FOLIO WINE COMPANY, LLC",Folio Wine Partners,3125 SAINT HELENA HWY N,SAINT HELENA,94558,NAPA,0
CA-W-24652,"OJAI VALLEY BREWERY, INC.",Ojai Valley Brewery,307 BRYANT ST,OJAI,93023,,0
CA-W-24653,WILDWOOD WINE LLC,Wildwood Wine,"2064 GRAVENSTEIN HIGHWAY N, BUILDING 1 STE 120",SEBASTOPOL,95472,SONOMA,0
CA-W-24654,NELSEN PROFITABLE DOMESTICS LLC,Nelson Profitable Domestics,21481 8TH ST E STE 15B,SONOMA,95476,SONOMA,0
CA-W-24655,"PRINCE STREET WINE COMPANY, LLC",Leo Steen Wines,,GEYSERVILLE,95441,SONOMA,0
CA-W-24656,"ZANOLI WINE SERVICES, LLC",Zanoli Wines,480 MARQUITA AVE STE A,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24657,"LION NATHAN USA, INC.",MACROSTIE WINERY,24625 CHIANTI RD,GEYSERVILLE,95441,SONOMA,0
CA-W-24658,JOHN CURTIS AND SONS LLC,,2800 MAIN ST,SAINT HELENA,94574,NAPA,0
CA-W-24659,QQ VINEYARDS LLC,QQ Vineyards,39850 KAPALUA WAY,TEMECULA,92592,SAN DIEGO,0
CA-W-24660,CHARLOTTE VINEYARD & WINERY LLC,Charlotte Vineyard & Winery,37640 DE PORTOLA RD,TEMECULA,92592,RIVERSIDE,0
CA-W-24661,"MATT CRUTCHFIELD WINES, LLC",,6450 1ST ST UNIT DKL,FORESTVILLE,95436,SONOMA,0
CA-W-24662,MISSION X ARTISAN,,13625 MIDLAND RD,POWAY,92064,SAN DIEGO,0
CA-W-24663,MOUNT DIABLO CIDER COMPANY LLC,Mount Diablo Cider Company,1166 NOGALES ST,LAFAYETTE,94549,CONTRA COSTA,0
CA-W-24664,BUCKINGHAM WINES LLC,,15 CHATEAU LN,NAPA,94558,NAPA,0
CA-W-24665,"BLIND VINE, LLC",,2550 & 2540 DRY CREEK RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24666,"SWISSCO FARMS, INC.",Vignerons,4665 SANTA MARIA MESA RD UNIT A,SANTA MARIA,93454,SANTA BARBARA,0
CA-W-24667,LA FONTAINE WINERY LLC,Morgan Hill Cellars,1645 SAN PEDRO AVE,MORGAN HILL,95037,,0
CA-W-24668,ODYSSEY WINERY INC,Odyssey Winery & Vineyards,6237 COHASSET RD,CHICO,95973,BUTTE,0
CA-W-24669,YB WINE VENTURES LLC,YB Wine Ventures LLC,1115 LOMA VISTA DR,NAPA,94558,NAPA,0
CA-W-2467,PICCHETTI WINERY INC,,13100 MONTEBELLO RD,CUPERTINO,95014,SANTA CLARA,0
CA-W-24670,MCLEOD CELLARS LLC,Mcleod Cellars,2540 & 2550 DRY CREEK RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24671,TRUSS WINE LLC,Truss,870 ARBOR RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24672,"APPLE CART CIDER, LLC",Golden State Cider,180 MORRIS ST STE 140 & 150,SEBASTOPOL,95472,SONOMA,0
CA-W-24673,ONE HAT ENTERPRISES INC.,Waters Edge Winery,149 LINDEN AVE STE C,LONG BEACH,90802,,0
CA-W-24674,JAMES D. ROSS AND JENNY N. ROSS,Rosscienda Vineyard,1172 REDWOOD HEIGHTS RD BLDG,APTOS,95003,SANTA CRUZ,0
CA-W-24675,CHRISTOPHERSON MEADERY LLC,,233 E HARRIS AVE UNIT F1,SOUTH SAN FRANCISCO,94080,SAN MATEO,0
CA-W-24676,JAYCRIS LLC,Creekcut,4070 VINEYARD DR,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24677,VINOS FINOS DE CALIFORNIA LLC,,38740 LOS COCHES RD,SOLEDAD,93960,,0
CA-W-24678,VILLAGE POP WINE LLC,Village Pop Wine,321 N D ST,LOMPOC,93436,SANTA BARBARA,0
CA-W-24679,"TUSQUE WINES, LLC",,1160 HOPPER AVE,SANTA ROSA,95403,,0
CA-W-2468,"PHASE 2 CELLARS, LLC",TOLOSA WINERY,4910 EDNA RD,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,0
CA-W-24681,"HOBSON FAMILY FARMS, LLC",Flying H Wines,5069 PRESQU'ILE DR,SANTA MARIA,93455,SANTA BARBARA COUNTY,0
CA-W-24682,RAMBLIN WINEMAKER LLC,Ramblin Winemaker,3025 BLUE ROCK RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24683,SUMMER DREAMS WINES LLC,Summer Dreams Wines,565 CRYSTAL SPRINGS RD,SAINT HELENA,94574,NAPA,0
CA-W-24684,YUMMY4U LLC,,3225 E FOOTHILL BLVD,PASADENA,91107,LOS ANGELES,0
CA-W-24685,VERA JO WINERY LLC,Red Sled Winery,3354 COFFEY LN STE A,SANTA ROSA,95403,SONOMA,0
CA-W-24686,NARROW BRIDGE WINERY,,770 CAPITOLIO WAY,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,0
CA-W-24687,"APPLE CART CIDER, LLC",Golden State Cider,1451 GROVE ST,HEALDSBURG,95448,SONOMA,0
CA-W-24688,"CIPRESSO INTERNATIONAL, INC.",Cipresso Wines,8940 CARMEL VALLEY RD,CARMEL,93923,,0
CA-W-24689,CRAV GROUP LLC,,45 ENTERPRISE CT UNIT 1-4 & 7,NAPA,94558,NAPA,0
CA-W-24690,"LAWLESS BREWING COMPANY, LLC",Lawless Brewing Company,5275 CRANER AVE,NORTH HOLLYWOOD,91601,LOS ANGELES,0
CA-W-24691,FAT DRAGON LLC,FAT DRAGON,1200 AMERICAN WAY,WINDSOR,95492,SONOMA,0
CA-W-24692,COPPER SIX LLC,,1200 AMERICAN WAY,WINDSOR,95492,SONOMA,0
CA-W-24693,"COPA FINA WINE IMPORTS, LLC",,18850 HASSETT LN BLDG B,GEYSERVILLE,95441,SONOMA,0
CA-W-24694,"PIERSON FAMILY VINEYARDS, LLC",PIERSON FAMILY VINEYARDS,7460 FAIRPLAY RD,SOMERSET,95684,EL DORADO,0
CA-W-24695,SOUTHERN PACIFIC BREWING LLC,Southern Pacific,620 TREAT AVE,SAN FRANCISCO,94110,SAN FRANCISCO,0
CA-W-24696,"MUNICIPAL WINEMAKERS, LLC",Potek,339 N VENTURA AVE,VENTURA,93001,VENTURA,0
CA-W-24697,"BANGOR RANCH WINERY, LLC","Bangor Ranch Winery, LLC",5768 LA PORTE RD BLDG,BANGOR,95914,BUTTE,0
CA-W-24698,"BOLENOLOGY, LLC",Forthright Winery,144 GATEWAY RD E,NAPA,94558,NAPA,0
CA-W-24699,TINY VINEYARDS WINE COMPANY LLC,Tiny Vineyards Wine Company,21481 8TH ST E STE 1,SONOMA,95476,SONOMA,0
CA-W-24700,MARK AND LINDA BAILEY PARTNERSHIP,CITY LIGHTS VINEYARD,10925 PRIETA CT.,SAN JOSE,95127,SANTA CLARA,0
CA-W-24701,CHATEAUNEUF-DU-FARGOSONINI LLC,,1384 S FRANKWOOD AVE,SANGER,93657,FRESNO,0
CA-W-24702,"YATA EAGLE WINES, LLC",YATA EAGLE WINES,2121 ALISOS AVE,SANTA YNEZ,93460,SANTA BARBARA,0
CA-W-24703,"M.P. FOWLER WINES, LLC",,2121 ALISOS RD,SANTA YNEZ,93460,SANTA BARBARA,0
CA-W-24704,SHINDIG CIDER LLC,SHINDIG CIDER,3055 DUNCAN LN UNIT D,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,0
CA-W-24705,"SAVAGE WINE, LLC.",Savage Cellars,21684 8TH ST E STE 470,SONOMA,95476,SONOMA,0
CA-W-24706,JASON VALENTIN,Nevermore Cellars,4950 ROSS RD,SEBASTAPOL,95472,SONOMA,0
CA-W-24707,ATWAL WINERY LLC,ATWAL WINERY,12623 E HERNDON AVE,CLOVIS,93619,FRESNO,0
CA-W-24708,ROOTED WINE LLC,Rooted Wine,55 LOS PADRES WAY UNIT 1,BUELLTON,93427,SANTA BARBARA COUNTY,0
CA-W-24709,SHADOW MOUNTAIN VINEYARDS & WINERY LLC,Shadow Mountain Vineyards,34680 CA-79 HWY,WARNER SPRINGS,92086,SAN DIEGO,0
CA-W-2471,PLATEAU VINEYARDS,,20170 SIERRA SOTO RD,MURRIETA,92562,RIVERSIDE,0
CA-W-24710,SUMMER DREAMS WINES LLC,Summer Dreams Wines,1160 HOPPER AVE,SANTA ROSA,95403,SONOMA,0
CA-W-24711,"LEGHORN WINE GROUP, LLC",,1003 CLEGG CT STE B,PETALUMA,94954,,0
CA-W-24712,"DRIVE WINES, LLC",Drive Wines,1290 DRY CREEK RD,HEALDSBURG,95448,SONOMA,0
CA-W-24714,E2 FAMILY WINERY,,9301 W HIGHWAY 12,LODI,95242,SAN JOAQUIN,0
CA-W-24715,"AVILA VALLEY BARN, INC.",Avila Valley Barn,3230 RIVERSIDE AVE STE 190,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24716,"LEGEND NAPA VALLEY, LLC",,100 NAPA JUNCTION RD,AMERICAN CANYON,94503,NAPA,0
CA-W-24717,"WAGS & WINE, LLC",Hair of the Dog,7755 BELL RD,WINDSOR,95492,SONOMA,0
CA-W-24718,ANNAPOLIS WINERY,annapolis winery,26055 SODA SPRINGS RD,ANNAPOLIS,95412,SONOMA,0
CA-W-24719,BIG NATURALS LLC,Big Naturals,3502 DRY CREEK RD UNIT B8,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24720,ANGEL WING WINERY INC.,Angel Wing Winery,14308 JACKSON RD,RANCHO MURIETA,95683,SACRAMENTO,0
CA-W-24721,"LOST CELLARS, LLC",Lost Cellars,1221 DUHIG RD,NAPA,94559,NAPA,0
CA-W-24722,CRANE TERRACE WINERY LLC,,135 CRANE TRCE,ORINDA,94563,CONTRA COSTA,0
CA-W-24723,"BIG EDDY VENTURES, LLC",Purple Orchid Wine Country Resort and Spa,4549 CROSS RD,LIVERMORE,94550,ALAMEDA,0
CA-W-24724,"GRAPEVINE LAND MANAGEMENT, LLC",,5250 TEPUSQUET CANYON RD,SANTA MARIA,93454,SANTA BARBARA,0
CA-W-24725,PRIMA VINEYARDS AND WINERY LLC,PRIMA VINEYARDS AND WINERY,38642 HIGHWAY 79,WARNER SPRINGS,92086,SAN DIEGO,0
CA-W-24726,JEFFREY MICHAEL BRANCO JR,Jeff Branco Cellars,3230 RIVERSIDE AVE UNIT 190,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24727,"BELLA MONTAGNA, LLC",,2654 NAPA VALLEY CORPORATE DR,NAPA,94558,NAPA,0
CA-W-24728,"MAD WINES, INC.",Vangone Estate,335 WEST LN,ANGWIN,94508,NAPA,0
CA-W-24730,"DIXIT & WAKEFIELD VINEYARDS, LLC",CLARE CELLARS,3230 RIVERSIDE AVE STE 190,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24731,"CASITA DE BRAVO, LLC",Casita de Bravo,2401 N REFUGIO RD,SANTA YNEZ,93460,SANTA BARBARA,0
CA-W-24732,HERMOSA BREWING COMPANY LLC,Hermosa Brewing Company,1855 DEL AMO BLVD BLDG,TORRANCE,90501,LOS ANGELES,0
CA-W-24733,"PLEASANTS VALLEY ESTATE VINEYARDS, LLC",,7539 PLEASANTS VALLEY RD,VACAVILLE,95688,SOLANO,0
CA-W-24734,LA CIENEGA VINEYARD LLC,La Cienega Vineyard,24625 CHIANTI RD,GEYSERVILLE,95441,,0
CA-W-24735,"ALPHA OMEGA WINERY, LLC",Alpha Omega Winery,4910 EDNA RD,SAN LUIS OBISPO,93401,,0
CA-W-24736,"KENTINA, LLC",Masia de la Vinya Winery,40230 DE PORTOLA ROAD,TEMECULA,92592,RIVERSIDE,0
CA-W-24737,FRANK MAZZETTI,Hunter & Mazzetti Vineyards,38642 HIGHWAY 79,WARNER SPRINGS,92086,,0
CA-W-24738,"WICKED MEAD, INC.",Wicked Mead,5320 HIGHWAY 49 N STE 6,MARIPOSA,95338,MARIPOSA,0
CA-W-24739,DOUBLE MAGNUM VINTNERS LLC,Candlelight Cellars,8585 CROSS CANYONS RD,SAN MIGUEL,93451,SAN LUIS OBISPO,0
CA-W-2474,CACCIATORE FINE WINES AND OLIVE OIL CORP.,,1875 S ELM ST,PIXLEY,93256,TULARE,0
CA-W-24740,ELCORE INC,Bethel Beverage,7933 SILVERTON AVE BLDG 706,SAN DIEGO,92126,SAN DIEGO,0
CA-W-24741,AHST 173 LLC,Mount St Helena Vineyard,20963 HIGHWAY 175,MIDDLETOWN,95461,LAKE,0
CA-W-24742,DRIVEN VENTURES LLC,Driven Cellars,12595 STEINER RD,PLYMOUTH,95669,AMADOR,0
CA-W-24743,"FIVE VINTNERS WINES, LLC",Five Vintners Wines,849 ZINFANDEL LN,ST. HELENA,94574,NAPA,0
CA-W-24744,"JCB COLLECTION, INC.",,849 ZINFANDEL LN,SAINT HELENA,94574,NAPA,0
CA-W-24745,"WILLIAMSON WINES, LLC",,4001 HWY. 128,GEYSERVILLE,95441,SONOMA,0
CA-W-24746,PAUL A BEHR,Behr Ranch Winery,5560 WILSON LANDING RD RD,CHICO,95973,BUTTE,0
CA-W-24747,"WILLIAMSON WINES, LLC",,499 MOORE LN,HEALDSBURG,95448,SONOMA,0
CA-W-24748,QUINTET MANAGEMENT CORP.,Ettore,14200 MOUNTAIN HOUSE RD,HOPLAND,95449,,0
CA-W-24749,CAREFREE VINO LLC,,43085 BUSINESS PARK DR STE B,TEMECULA,92590,RIVERSIDE,0
CA-W-24750,SUMMER DREAMS WINES LLC,Summer Dreams Wines,6705 CRISTO LN,SANTA ROSA,95409,SONOMA,0
CA-W-24751,"VIGNOBLE WINE CO., LLC",M. Zobeck Wines,2323B 4TH ST,BERKELEY,94710,,0
CA-W-24752,"RIPPETO FAMILY VENTURES, LLC",,21660 8TH STREET EAST BLDG A,SONOMA,95476,SONOMA,0
CA-W-24753,"SOUTH BAY WINE GROUP, LLC",Castle Rock Winery,2191 LAGUNA RD,SANTA ROSA,95401,SONOMA,0
CA-W-24754,"SLJ GROUP, INC.",Lionstone International,520 AIRPARK RD,NAPA,94558,NAPA,0
CA-W-24755,VAN DYK FAMILY WINES LLC,Van Dyk Family Wines,1155 MEE LN,RUTHERFORD,94574,,0
CA-W-24756,SEA BRIGHT WINES LLC,SEA BRIGHT WINES,2127 VANDERLIP CT UNIT C,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24757,HOOCHA LLC,Hoocha LLC,133 COPELAND ST STE B,PETALUMA,94952,,0
CA-W-24758,LAMONTAGNE-PUJADAS WINES LLC,IIWII Wines,4070 VINEYARD DR,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24759,OJAI ROOTS LLC,,3502 DRY CREEK RD UNIT B8,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-2476,ROBERT VAN DER VIJVER & SHANNON N. VAN VIJVER,VAN DER VIJVER ESTATES,7451 FAIRPLAY RD,SOMERSET,95684,EL DORADO,0
CA-W-24761,"BESA WINES, INC.",Besa Wines,6465 VON DOLLEN RD,SAN MIGUEL,93451,SAN LUIS OBISPO,0
CA-W-24763,SCARAB WINE LLC,,3060 LIMESTONE WAY,PASO ROBLES,93446,SLO,0
CA-W-24764,"FLINT KNOLL, LLC",FLINT KNOLL,620 TRANCAS ST,NAPA,94558,NAPA,0
CA-W-24765,"LOVALL VALLEY WINERY, LLC",Grieve Family Wines,965 SILVERADO TRL,CALISTOGA,94515,NAPA,0
CA-W-24766,"CHAIX WINERY, LLC",Chaix Wines,1204 MANLEY LN,NAPA,94558,NAPA,0
CA-W-24767,"OLD SODA SPRINGS WINERY, LLC",,7633 SILVERADO TRAIL,NAPA,94558,,0
CA-W-24768,BLADE & TALON WINE LLC,BLADE & TALON,6500 BREM LN,GILROY,95020,SANTA CLARA,0
CA-W-24769,"BYDAND WINES, LLC",Bydand Wines,24 N BLUE OAK LN,NAPA,94558,NAPA,0
CA-W-2477,"JACKSON FAMILY WINES, INC.",KENDALL-JACKSON .,37300 DOUD RD,SOLEDAD,93960,MONTEREY,0
CA-W-24770,CHRIS BOMMARITO,Bommarito Vineyards,4266 STONEFIELD LN,FAIRFIELD,94534,SOLANO,0
CA-W-24771,RETRO CELLARS LLC,Retro Cellars,805 WHITE COTTAGE RD,ANGWIN,94508,NAPA,0
CA-W-24772,"KINGSMARK WINES, LLC",Kingsmark Wines,7633 SILVERADO TRL,NAPA,94558,NAPA,0
CA-W-24774,"BELCHING BEAVER BREWERY, INC",Belching Beaver Brewery Inc,1334 ROCKY POINT DR,OCEANSIDE,92056,SAN DIEGO,0
CA-W-24775,"DANCING CROW VINEYARDS, LLC",Dancing Crow,12141 HEWLITT & STURTEVANT RD,HOPLAND,95449,MENDOCINO,0
CA-W-24776,HSIH NHH INV LLC,Seven Stones Winery,840 MEADOWOOD LN,ST. HELENA,94574,NAPA,0
CA-W-24777,"CIMAROSSA, LLC",Cimarossa Vineyards,5055 SOLANO AVE,NAPA,94558,NAPA,0
CA-W-24778,"SPIRITS THAT ROCK, INC.",Wines That Rock,1010 INDUSTRIAL WAY,KING CITY,93930,MONTEREY,0
CA-W-24779,CIRLIG WINES LLC,,11374 SKISLOPE WAY,TRUCKEE,96161,NEVADA,0
CA-W-24780,TIDINGS WINE LLC,Tidings,2921 SILVERADO TRL,NAPA,94558,NAPA,0
CA-W-24781,FIELDHAND VINEYARDS LLC,Fieldhand Vineyards,21481 8TH ST E STE 1,SONOMA,95476,SONOMA,0
CA-W-24782,OX WINE CO LLC,OX Wine Co,1501 E CHESTNUT CT STE B,LOMPOC,93436,SANTA BARBARA,0
CA-W-24783,"LADY T BLENDS, LLC",,2540 & 2550 DRY CREEK RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-24784,ROCKBOUND ESTATES LLC,Rockbound Cellars,3590 ADELAIDA RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
